id_nws, gtype_nws, river, local, lat_cnrfc, lon_cnrfc, gelev_ft_cnrfc, rfc_pnt_type,offname_cnrfc
ACNO3, G, A Canal                   , Klamath Falls               ,42.23889,-121.80139,4126, Special Special,
ABWN2, R, Abbott Wash               , Mesquite Boulevard          ,36.80417,-114.08556,1614, River Other,
AWDN2, R, Abbott Wash               , Detention Bain              ,36.82611,-114.09361,1615, River Other,
AFCC1, G, Adobe Creek               , Foothill College            ,37.35806,-122.12805,325, River Other,
AOBC1, G, Adobe Creek               , Below El Camino Real        ,37.40861,-122.11778,50, River Other,
PABC1, R, Adobe Creek               , Sartori Drive               ,38.23639,-122.59667,36, River Other,
PMJC1, R, Adobe Creek               , Manor Lane                  ,38.2658,-122.58195,230, River Other,
HEDC1, R, Agua Heionda Creek        , El Camino Real              ,33.14944,-117.29694,43, River Other,
PUKC1, G, Alameda Ck Flood Channel  , Union City                  ,37.58583,-122.04722,4, River Other,
ACBC1, G, Alameda Creek             , Below Diversion Dam - Sunol ,37.49861,-121.77944,840, River Other,
ACZC1, G, Alameda Creek             , Sunol                       ,37.50361,-121.82361,430, River Other, Alameda Ck - Sunol      
ALFC1, G, Alameda Creek             , Fremont                     ,37.56667,-122.00056,48, River Other,
AWEC1, G, Alameda Creek             , Sunol                       ,37.54056,-121.85528,300, River Other, Alameda Ck - Sunol      
MPTC1, G, Alameda Creek             , Above Diversion Dam         ,37.4975,-121.7725,930, River Other, Alameda Ck - Abv Div Dam
NILC1, G, Alameda Creek             , Niles                       ,37.58722,-121.95972,86, River Other, Alameda Ck - Niles      
ALAC1, R, Alameda Storm Channel     , Villa Park                  ,33.80583,-117.80167,339, River Other,
ALRC1, G, Alamitos Creek            , Almaden Reservoir           ,37.165,-121.8275,610, Reservoir Reservoir,
AHFC1, G, Alamitos Creek            , Greystone                   ,37.2225,-121.85,275, River Other,
ALKC1, G, Alamitos Creek            , Above Almaden Reservoir     ,37.15778,-121.84361,614, River Other,
ATOC1, R, Alamitos Creek            , Below Almaden Reservoir     ,37.16861,-121.82722,500, River Other,
GDPC1, R, Alamitos Creek            , Los Gatos                   ,37.23833,-121.86917,184, River Other,
ALQC1, G, Alamo Canal               , Pleasanton                  ,37.69444,-121.91944,330, River Other,
APDC1, G, Alamo Pintado Creek       , Solvang                     ,34.61833,-120.11972,540, River Other,
ZANC1, G, Alamo River               , Niland                      ,33.19889,-115.59611,-220, River Other, Alamo - Niland          
ACKC1, R, Alder Creek               , Prairie City Road           ,38.63972,-121.15556,248, River Other,
ALBC1, R, Alhambra Creek            , D Street                    ,38.00333,-122.12972,59, River Other,
ALWC1, G, Alhambra Wash             , Klingerman                  ,34.05611,-118.0875,244, River Other,
ALSC1, R, Alisal Creek              , Alisal Reservoir            ,34.54861,-120.13028,600, Reservoir Reservoir,
ALIC1, G, Alisal Creek              , Alisal Reservoir            ,34.54889,-120.12917,594, Reservoir Reservoir,
ALCC1, R, Aliso Creek               , Jeronimo Road               ,33.625,-117.68722,520, River Other,
ASOC1, G, Aliso Creek               , Sewage Treatment Plant      ,33.5175,-117.74056,15, River Other,
ACEC1, G, Almaden Calero Canal      , Almaden Reservoir           ,37.16555,-121.82806,540, River Other,
AGKC1, R, Amago Creek               , Near State Highway 76       ,33.2939,-116.8708,2940, River Other,
AMCC1, G, Amargosa River            , Above China Ranch Wash      ,35.79028,-116.20528,1069, River Other,
TCPC1, G, Amargosa River            , Tecopa                      ,35.84806,-116.22861,1310, River Other,
SAMC1, G, American River            , Sacramento - H Street       ,38.56889,-121.4225,45, River Forecast,
FOLC1, G, American River            , Folsom Lake                 ,38.7,-121.16694,350, Reservoir Reservoir,
NIMC1, G, American River            , Lake Natoma                 ,38.63667,-121.22333,132, Reservoir Reservoir,
AFDC1, G, American River            , Below Folsom Dam - Folsom   ,38.70444,-121.16417,239, River Other, American - Blo Folsm Dam
AFOC1, G, American River            , Fair Oaks                   ,38.63556,-121.22667,72, River Other, American - Fair Oaks    
AWBC1, G, American River            , Watt Avenue Bridge          ,38.56722,-121.38834,36, River Other, American - Watt Avenue  
AWPC1, G, American River            , William B Pond Park         ,38.59139,-121.33167,45, River Other, American - William B Pnd
DFBC1, R, American River            , D05 - Off Channel Basin Pnt ,38.585,-121.42,33, River Other,
DFRC1, R, American River            , D05 - Off Channel Stage     ,38.58472,-121.42111,40, River Other,
FOAC1, G, American River            , Fair Oaks - Hazel Ave Bridge,38.63556,-121.22667,72, River Other, American - Fair Oaks    
ANRC1, G, Andreas Creek             , Palm Springs                ,33.76,-116.54916,800, River Other,
APDN2, R, Angel Park                , Detention Basin             ,36.18694,-115.28139,2650, River Other,
MUHC1, G, Angels Creek              , Below Murphys               ,38.13694,-120.46889,2138, River Other,
AGOC1, G, Angora Creek              , Lake Tahoe Golf Course      ,38.87361,-120.01,6300, River Other,
ANNO3, G, Annie Creek               , Fort Klamath                ,42.76917,-122.05972,4330, River Other,
ACLO3, G, Annie Spring              , Crater Lake                 ,42.87167,-122.16778,6010, River Other,
ACLC1, R, Antelope Creek            , Loomis                      ,38.81778,-121.21611,306, River Other,
ACRC1, R, Antelope Creek            , Antelope Creek Road         ,38.77,-121.25889,167, River Other,
MALA3, R, Antelope Drain            , Mesquite Creek              ,34.99028,-114.58,582, River Other,
ADBN2, R, Anthem                    , Detention Basin             ,35.93944,-115.07778,2520, River Other,
