zone,val,count
ANTC1HOF,5003.281,17502
ANTC1HOF,5006.56184,1460
ANTC1HOF,5009.84268,1413
ANTC1HOF,5013.12352,899
ANTC1HOF,5016.4043599999995,799
ANTC1HOF,5019.6852,789
ANTC1HOF,5022.96604,1045
ANTC1HOF,5026.24688,844
ANTC1HOF,5029.52772,1007
ANTC1HOF,5032.80856,1536
ANTC1HOF,5036.0894,1339
ANTC1HOF,5039.37024,1502
ANTC1HOF,5042.65108,1392
ANTC1HOF,5045.93192,1443
ANTC1HOF,5049.21276,803
ANTC1HOF,5052.4936,696
ANTC1HOF,5055.77444,848
ANTC1HOF,5059.05528,596
ANTC1HOF,5062.33612,546
ANTC1HOF,5065.61696,675
ANTC1HOF,5068.8978,1000
ANTC1HOF,5072.17864,824
ANTC1HOF,5075.4594799999995,929
ANTC1HOF,5078.74032,1222
ANTC1HOF,5082.02116,875
ANTC1HOF,5085.302,732
ANTC1HOF,5088.58284,691
ANTC1HOF,5091.86368,770
ANTC1HOF,5095.14452,581
ANTC1HOF,5098.42536,533
ANTC1HOF,5101.7062,537
ANTC1HOF,5104.98704,745
ANTC1HOF,5108.26788,647
ANTC1HOF,5111.54872,691
ANTC1HOF,5114.82956,993
ANTC1HOF,5118.1104,773
ANTC1HOF,5121.39124,764
ANTC1HOF,5124.67208,743
ANTC1HOF,5127.95292,967
ANTC1HOF,5131.23376,641
ANTC1HOF,5134.5145999999995,702
ANTC1HOF,5137.79544,937
ANTC1HOF,5141.07628,633
ANTC1HOF,5144.35712,695
ANTC1HOF,5147.63796,759
ANTC1HOF,5150.9188,1118
ANTC1HOF,5154.19964,1007
ANTC1HOF,5157.48048,1036
ANTC1HOF,5160.76132,1386
ANTC1HOF,5164.04216,911
ANTC1HOF,5167.323,934
ANTC1HOF,5170.60384,873
ANTC1HOF,5173.88468,1096
ANTC1HOF,5177.16552,800
ANTC1HOF,5180.44636,731
ANTC1HOF,5183.7272,1045
ANTC1HOF,5187.00804,846
ANTC1HOF,5190.28888,889
ANTC1HOF,5193.56972,984
ANTC1HOF,5196.85056,1395
ANTC1HOF,5200.1314,1076
ANTC1HOF,5203.41224,984
ANTC1HOF,5206.69308,905
ANTC1HOF,5209.97392,1171
ANTC1HOF,5213.25476,802
ANTC1HOF,5216.5356,744
ANTC1HOF,5219.81644,1010
ANTC1HOF,5223.09728,744
ANTC1HOF,5226.37812,793
ANTC1HOF,5229.65896,831
ANTC1HOF,5232.9398,1190
ANTC1HOF,5236.22064,971
ANTC1HOF,5239.50148,1031
ANTC1HOF,5242.78232,1272
ANTC1HOF,5246.06316,960
ANTC1HOF,5249.344,960
ANTC1HOF,5252.62484,847
ANTC1HOF,5255.90568,1077
ANTC1HOF,5259.18652,774
ANTC1HOF,5262.46736,793
ANTC1HOF,5265.7482,1160
ANTC1HOF,5269.02904,874
ANTC1HOF,5272.30988,969
ANTC1HOF,5275.59072,1020
ANTC1HOF,5278.87156,1449
ANTC1HOF,5282.1524,1005
ANTC1HOF,5285.43324,902
ANTC1HOF,5288.71408,889
ANTC1HOF,5291.99492,1103
ANTC1HOF,5295.2757599999995,746
ANTC1HOF,5298.5566,763
ANTC1HOF,5301.83744,1004
ANTC1HOF,5305.11828,785
ANTC1HOF,5308.39912,883
ANTC1HOF,5311.67996,882
ANTC1HOF,5314.9608,1269
ANTC1HOF,5318.24164,1047
ANTC1HOF,5321.52248,971
ANTC1HOF,5324.80332,1347
ANTC1HOF,5328.08416,994
ANTC1HOF,5331.365,960
ANTC1HOF,5334.64584,900
ANTC1HOF,5337.92668,1145
ANTC1HOF,5341.20752,814
ANTC1HOF,5344.48836,875
ANTC1HOF,5347.7692,1293
ANTC1HOF,5351.05004,1061
ANTC1HOF,5354.3308799999995,1113
ANTC1HOF,5357.61172,1211
ANTC1HOF,5360.89256,1663
ANTC1HOF,5364.1734,1210
ANTC1HOF,5367.45424,1192
ANTC1HOF,5370.73508,1548
ANTC1HOF,5374.01592,1128
ANTC1HOF,5377.29676,1005
ANTC1HOF,5380.5776,1009
ANTC1HOF,5383.85844,1403
