NAME,cap_oldest,cap_old
ACSC1HOF,19.82333,21.02306
ADLC1LOF,16.86041,18.55736
ADOC1LOF,19.37438,18.24769
AHOC1HOF,22.34880,24.07627
AKYC1HLF,45.70638,44.77963
AKYC1HUF,47.74996,50.68264
ALQC1HOF,18.45269,23.44009
ALRC1HOF,44.07000,43.57368
ANDC1LOF,22.96676,23.46526
APCC1LOF,35.76006,35.85300
ARCC1LOF,64.09743,69.79729
AROC1LOF,20.68931,22.40817
AVYC1LLF,52.21126,51.71761
AVYC1LMF,47.97311,55.00619
AWEC1LOF,23.49793,21.59176
BCAC1LLF,26.88457,23.54068
BCAC1LUF,28.43220,24.35001
BCKC1HOF,20.67333,23.07425
BDBC1LOF,34.31389,39.30270
BHNC1HOF,23.86059,27.49471
BKCC1HLF,64.32304,63.25043
BKCC1HUF,67.40998,71.62529
BLBC1LLF,27.92841,30.01059
BLBC1LUF,54.53745,53.53775
BLKC1HOF,75.01414,92.31309
BNCC1HOF,16.95216,17.69036
BOYO3LLF,24.71345,23.09047
BOYO3LUF,42.50183,44.87175
BPRC1HLF,18.36789,15.82486
BPRC1HUF,31.12335,31.60023
BRDC1LOF,16.12335,16.99632
BRGC1HOF,61.86940,69.21875
BSRC1HOF,44.52427,44.15426
BTEC1HOF,43.41514,47.38985
BTYO3HLF,17.57507,16.12144
BTYO3HUF,25.42053,25.51745
BURC1LLF,48.93869,45.34811
BURC1LUF,63.13328,64.96340
BWKC1HOF,65.47612,73.13774
CADC1HOF,26.34000,26.26676
CBAC1LLF,48.70476,47.82776
CBAC1LUF,47.99912,50.27368
CCHC1LOF,23.49724,30.57202
CDLC1LOF,41.83170,48.43576
CEGC1HLF,52.93986,53.89457
CEGC1HUF,54.82374,69.48451
CEMC1HLF,39.33937,33.02368
CEMC1HUF,46.81501,46.18240
CFWC1LOF,40.71940,41.66979
CHLC1LOF,15.98617,16.11963
CHSO3LLF,18.88295,17.84251
CHSO3LUF,24.91559,26.93210
CHVC1HLF,44.86434,48.84817
CHVC1HMF,46.67043,52.04784
CHVC1HUF,56.74611,62.37068
CKEC1HLF,15.95274,15.83885
CKEC1HUF,19.87403,19.78852
CLKC1LOF,36.63191,36.98934
CLLC1HOF,16.34872,17.84729
CMCC1LOF,19.92763,21.28513
CMIC1LOF,0.00000,19.09939
CMPC1HLF,43.42520,43.14648
CMPC1HMF,50.70866,54.08249
CMPC1HUF,54.60630,57.84862
CNBC1LLF,16.25938,15.33021
CNBC1LUF,23.58844,24.47677
COTC1HLF,40.43102,40.58981
COTC1HUF,61.74181,57.69951
COYC1HOF,22.94572,23.15267
CREC1HOF,110.33721,107.90335
CSKC1HOF,14.93131,22.15310
CVQC1LOF,25.27267,22.08513
CWAC1HLF,37.04495,37.01104
CWAC1HUF,56.45705,61.95094
CWCC1HLF,42.96793,46.67934
CWCC1HUF,58.68338,56.13701
CYBC1HOF,13.47520,15.82714
CYEC1LOF,23.14909,20.02625
DCMC1LOF,13.60084,16.09505
DCSC1HOF,52.73527,53.50800
DCVC1HLF,53.05519,55.33793
DCVC1HUF,50.28114,61.37618
DCWC1HOF,32.69902,32.66911
DEPC1HLF,11.72358,14.00936
DEPC1HUF,14.69997,20.89288
DIXN2HLF,11.87164,11.98862
DIXN2HUF,26.11680,24.80672
DKHC1HOF,34.19010,21.96116
DLMC1HLF,26.82938,25.47624
DLMC1HUF,38.16339,39.32638
DLTC1HUF,54.51189,67.20040
DLTC1LUF,60.79476,62.37181
DMCC1HOF,53.40356,52.81064
DNRC1HOF,49.84674,48.30970
DOSC1HLF,56.46854,54.52676
DOSC1HUF,67.32461,73.66674
DRYC1HOF,18.56213,18.84353
DSNC1HOF,16.46964,16.32047
DVGN2HLF,13.59409,12.77663
DVGN2HUF,21.33172,24.14961
EDCC1HLF,35.46164,33.81448
EDCC1HUF,54.90292,47.34220
EDOC1HLF,44.26734,44.67876
EDOC1HUF,49.10108,54.57729
EFBC1HOF,22.05650,22.05650
ELPC1HOF,21.99319,21.69116
EPRC1HOF,24.57665,33.42802
ESRC1HOF,12.95069,14.74431
ETTC1HOF,74.46282,95.36573
EWSN2LLF,14.51526,10.35886
EWSN2LUF,20.10720,19.47262
EXQC1LLF,31.78352,34.78166
EXQC1LMF,41.19778,44.61720
EXQC1LUF,46.24583,54.34132
FARC1LLF,30.46766,24.20818
FARC1LUF,40.12931,37.31167
FMDC1HOF,55.57045,66.49754
FMWC1LOF,20.35532,21.65533
FOCC1HOF,69.32443,71.04236
FOLC1LOF,36.19058,37.08679
FRAC1HLF,27.43531,31.20905
FRAC1HMF,38.27600,41.39910
FRAC1HUF,41.05599,45.44894
FRGC1HOF,19.96354,19.50788
FRNC1LOF,58.67202,59.78815
FSNC1LOF,13.13339,13.56975
FTBC1HOF,47.80075,50.79391
FTCN2LOF,12.56455,13.19542
FTDC1LOF,84.74272,84.33814
FTJC1HLF,25.81095,27.91384
FTJC1HUF,37.64873,53.09321
FTSC1LLF,57.00722,60.77230
FTSC1LUF,66.51717,74.78637
GARC1LOF,18.65518,18.86503
GERO3HLF,20.04242,17.65404
GERO3HUF,21.88922,20.49969
GRCC1HOF,43.53623,58.71755
GRDN2LLF,24.48527,22.34570
GRDN2LUF,33.75628,26.00084
GSJC1LOF,20.86785,19.12123
GSRC1HOF,48.40206,57.60683
GUAC1HOF,40.83000,40.78291
GUDC1LOF,23.88000,23.55934
GUEC1LOF,40.16741,41.90278
GYRC1HLF,65.82329,66.52974
GYRC1HUF,66.91564,72.40026
HAPC1HLF,66.02861,68.05983
HAPC1HUF,72.22287,86.55075
HAWC1HOF,21.76963,20.30252
HCHC1HOF,25.13306,30.14332
HCTC1HOF,47.10109,45.24083
HEAC1LOF,44.68062,44.64622
HETC1HLF,40.74803,42.73564
HETC1HMF,45.15748,49.16408
HETC1HUF,46.61417,50.65433
HIDC1HOF,27.03832,29.76499
HKCC1HOF,61.59648,59.43598
HLEC1LLF,51.58431,49.24770
HLEC1LUF,68.16386,67.58783
HLLC1LLF,48.90676,63.16310
HLLC1LUF,51.79775,60.23604
HNEC1HOF,36.50261,37.77388
HOOC1LLF,61.52698,62.41380
HOOC1LUF,73.29844,72.49204
HOPC1LOF,43.02011,45.91843
HOSC1LOF,15.84979,16.71671
HOUC1HOF,38.29515,45.40856
HOYN2LLF,19.62736,15.33391
HOYN2LUF,29.18012,26.51687
HPIC1HMF,42.52628,43.57856
HPIC1HUF,43.86169,49.61710
HRCN2LLF,12.34076,11.97821
HRCN2LUF,19.56232,18.09859
HREN2LLF,12.70386,12.53740
HREN2LUF,27.36939,27.40044
HSAC1HOF,19.33819,21.66182
HYMC1LLF,44.63188,48.96698
HYMC1LUF,54.39581,74.06210
ICHC1HOF,50.70946,50.54100
IIFC1HLF,38.09101,36.30446
IIFC1HUF,28.39529,28.34524
ILAC1HOF,53.44041,51.75533
INVC1LOF,25.40871,35.90191
IRGC1LLF,25.16565,22.75878
IRGC1LUF,32.64117,36.27222
ISAC1LLF,14.15942,13.62763
ISAC1LMF,18.65867,21.60528
ISAC1LUF,27.36459,31.48422
JKRC1HOF,62.36567,68.33570
JNSC1LLF,62.42350,62.26679
JNSC1LUF,67.08465,72.91261
KCVC1HOF,51.47287,48.48397
KCYC1HOF,17.47719,18.08498
KELO3LLF,15.19848,14.72392
KELO3LUF,18.89768,18.72873
KEOO3LLF,18.57734,16.69169
KEOO3LUF,22.41732,24.65118
KESC1LOF,58.24769,64.52515
KKVC1HLF,24.40580,24.59830
KKVC1HMF,26.47939,34.11648
KKVC1HUF,26.27900,31.34412
KLAO3LLF,24.65815,23.69233
KLAO3LUF,51.93359,53.04985
KLMC1LLF,78.61809,90.46885
KLMC1LUF,92.97609,97.19811
