Name,fcast_grp,basin,lat_cent,lon_cent,square_mi,mean_m,mean_ft,p13_meanann_p_mm,p13_meanann_p_in,p13_meanann_t_c,p13_meanann_t_f,p19_meanann_p_mm,p19_meanann_p_in,p19_meanann_t_c,p19_meanann_t_f,p19p13_p_perdiff,p19p13_t_perdiff
ACSC1HOF,CentralCoast,ACSC1,37.560792,-121.770821,39.230798,494.422498,1622.121108,536.227594,21.111334,14.695127,58.451228,534.675132,21.050213,14.715867,58.48856,-0.2895155,0.063868632
ADLC1LOF,CentralCoast,ADLC1,37.674447,-121.745891,216.590685,331.245002,1086.761854,469.298988,18.476348,15.232102,59.417784,468.736387,18.454198,15.232153,59.417876,-0.119881145,0.000154836
ADOC1LOF,SouthernCalifornia,ADOC1,34.0546,-117.591821,399.000311,496.034047,1627.408343,460.279596,18.121254,17.598879,63.677983,461.330007,18.162609,17.584458,63.652025,0.228211506,-0.040764482
AHOC1HOF,CentralCoast,AHOC1,37.355637,-121.633729,77.439622,816.170315,2677.724217,609.73278,24.005241,14.269744,57.68554,610.453278,24.033607,14.25625,57.66125,0.118166191,-0.042107606
AKYC1HLF,American,AKYC1,38.76468,-120.292315,7.234782,1398.283742,4587.545231,1133.302277,44.618224,10.938571,51.689429,1128.904395,44.445079,11.2524,52.25432,-0.388059046,1.092855949
AKYC1HUF,American,AKYC1,38.734734,-120.148818,185.44116,2192.182548,7192.200189,1292.665807,50.892382,6.780751,44.205351,1289.390252,50.763423,6.851933,44.33348,-0.253395346,0.289849525
ALQC1HOF,CentralCoast,ALQC1,37.75402,-121.929737,39.658213,212.795603,698.148325,591.577152,23.290452,15.327595,59.589671,593.242649,23.356022,15.318278,59.572901,0.281535045,-0.028142461
ALRC1HOF,CentralCoast,ALRC1,37.145565,-121.851912,11.994762,546.96335,1794.499236,1072.642856,42.230057,14.61551,58.307918,1074.609091,42.307467,14.632727,58.338909,0.183307518,0.053150586
ANDC1LOF,CentralCoast,ANDC1,37.219583,-121.62553,81.118979,480.749474,1577.262105,601.258245,23.671597,14.857292,58.743126,601.319574,23.674012,14.842484,58.716471,0.01020011,-0.045375522
ANTC1HOF,FeatherYuba,ANTC1,40.22746,-120.616723,71.015894,1833.712336,6016.11678,703.264186,27.687581,7.918997,46.254194,703.479499,27.696058,7.913571,46.244429,0.030616233,-0.021111599
APCC1LOF,RussianNapa,APCC1,38.429871,-122.388162,87.482211,196.566477,644.903159,905.085084,35.63329,15.411638,59.740949,907.770265,35.739006,15.393876,59.708976,0.296677191,-0.053519404
ARCC1LOF,NorthCoast,ARCC1,40.720257,-123.789268,364.430785,694.281439,2277.826318,1792.213564,70.559627,11.826471,53.287647,1793.025159,70.59158,11.827091,53.288763,0.045284503,0.002094294
AROC1LOF,CentralCoast,AROC1,36.962136,-121.512546,432.598974,219.384772,719.766336,566.403505,22.299363,15.104054,59.187297,566.568359,22.305853,15.103215,59.185788,0.029105399,-0.002549534
AVYC1LLF,SanJoaquin,AVYC1,38.297687,-120.244387,16.094089,1360.837968,4464.69164,1314.625002,51.756918,11.573125,52.831625,1312.255555,51.663632,11.578095,52.840571,-0.180237482,0.01693304
AVYC1LMF,SanJoaquin,AVYC1,38.396679,-120.104875,75.14271,2011.69885,6600.062054,1396.464886,54.978962,8.296436,46.933584,1394.799057,54.913378,8.305035,46.949063,-0.119289,0.032980648
AWEC1LOF,CentralCoast,AWEC1,37.516686,-121.81852,16.84085,420.238899,1378.736589,549.371714,21.628819,14.835857,58.704543,550.403637,21.669446,14.806212,58.651182,0.187836937,-0.090897565
BCAC1LLF,EastSierra,BCAC1,39.425971,-120.114052,21.315928,1766.449688,5795.438795,591.469091,23.286197,7.072159,44.729886,592.888193,23.342067,7.062169,44.711904,0.239928345,-0.04020131
BCAC1LUF,EastSierra,BCAC1,39.442806,-120.086163,14.889335,1983.364747,6507.102398,623.521931,24.548121,6.664737,43.996526,619.483726,24.389136,6.638814,43.949865,-0.647644421,-0.106056101
BCKC1HOF,SanJoaquin,BCKC1,37.48255,-120.134802,72.055001,480.057396,1574.991507,590.813206,23.260375,15.863693,60.554648,592.918279,23.343252,15.854762,60.538571,0.356300939,-0.026549572
BDBC1LOF,UpperSacramento,BDBC1,40.505433,-122.203809,499.873588,335.413339,1100.437498,996.661743,39.238672,16.184696,61.132453,997.822692,39.284379,16.195724,61.152303,0.116483753,0.032470478
BHNC1HOF,SanJoaquin,BHNC1,37.387102,-119.85833,233.832698,658.162018,2159.324275,702.627515,27.662516,15.46667,59.840006,700.833023,27.591866,15.4712,59.848161,-0.255397342,0.013628007
BKCC1HLF,UpperSacramento,BKCC1,39.914399,-121.602972,107.338263,890.006838,2919.970034,1614.209331,63.551583,13.701843,56.663318,1617.990709,63.700456,13.700757,56.661362,0.234255739,-0.003451969
BKCC1HUF,UpperSacramento,BKCC1,40.100756,-121.456081,40.773749,1772.930804,5816.7023,1823.080361,71.774856,8.423373,47.162072,1821.562608,71.715102,8.405839,47.130509,-0.083252117,-0.066924541
BLBC1LLF,UpperSacramento,BLBC1,39.702351,-122.620004,414.672821,648.845778,2128.759181,753.681457,29.672514,14.625322,58.32558,752.141295,29.611878,14.641799,58.355238,-0.20435185,0.050849044
BLBC1LUF,UpperSacramento,BLBC1,39.747783,-122.837356,25.709018,1689.327871,5542.414451,1312.994149,51.692711,9.787547,49.617585,1306.007822,51.417659,9.79297,49.627347,-0.532091252,0.019674476
BLKC1HOF,NorthCoast,BLKC1,40.812689,-123.759997,67.784211,893.455843,2931.285669,2357.673398,92.821837,11.870584,53.367051,2359.372716,92.88874,11.859777,53.347599,0.072076056,-0.036449456
BNCC1HOF,SanJoaquin,BNCC1,37.468571,-120.2436,72.405818,255.573173,838.494688,455.419558,17.929914,16.588333,61.859,456.570719,17.975235,16.582446,61.848403,0.252769338,-0.017130894
BOYO3LLF,Klamath,BOYO3,42.17205,-122.054672,96.649092,1333.698294,4375.65071,580.381708,22.849686,7.605179,45.689321,580.277525,22.845584,7.600383,45.680689,-0.017950772,-0.018892817
BOYO3LUF,Klamath,BOYO3,42.257002,-122.143284,59.768614,1713.904499,5623.046437,1122.987418,44.212127,6.410333,43.5386,1122.58537,44.196298,6.380287,43.484516,-0.035801648,-0.124220806
BPRC1HLF,EastSierra,BPRC1,38.22954,-119.241231,174.648524,2199.998773,7217.843974,399.933759,15.745432,6.525834,43.746502,396.535674,15.611649,6.549162,43.788491,-0.849661956,0.095982531
